strain,country,location,date,day_occurence,lon,lat
Guangdong/2020XN4239-P0034/2020,China,"?, China",2020-01-30,37,104.999927,35.000074
SouthKorea/KUMC02/2020,South Korea,"?, South Korea",2020-02-06,44,127.6961188,36.638392
Sweden/01/2020,Sweden,"Jönköping, Sweden",2020-02-07,45,14.165719,57.7825634
Australia/VIC01/2020,Australia,"Clayton, Australia",2020-01-25,32,145.1304242,-37.9173212
Taiwan/2/2020,Taiwan,"Kaohsiung, Taiwan",2020-01-23,30,120.3120375,22.6203348
Guangdong/GD2020087-P0008/2020,China,"?, China",2020-02-01,39,104.999927,35.000074
Singapore/7/2020,Singapore,"Singapore, Singapore",2020-01-27,34,103.8194992,1.357107
HongKong/case42_VM20002493/2020,Hong Kong,"?, Hong Kong",2020-02-09,47,114.1628131,22.2793278
canine/HongKong/20-02756/2020,Hong Kong,"?, Hong Kong",2020-02-26,64,114.1628131,22.2793278
HongKong/case90_VM20002907/2020,Hong Kong,"?, Hong Kong",2020-02-25,63,114.1628131,22.2793278
HongKong/case85_VM20002868/2020,Hong Kong,"?, Hong Kong",2020-02-24,62,114.1628131,22.2793278
HongKong/case52_VM20002582/2020,Hong Kong,"?, Hong Kong",2020-02-12,50,114.1628131,22.2793278
HongKong/case48_VM20002507/2020,Hong Kong,"?, Hong Kong",2020-02-10,48,114.1628131,22.2793278
HongKong/VB20024950/2020,Hong Kong,"?, Hong Kong",2020-01-30,37,114.1628131,22.2793278
USA/CA2/2020,USA,"Orange County, USA",2020-01-22,29,-117.8704931,33.7500378
France/IDF0373/2020,France,"Paris, France",2020-01-23,30,2.3514616,48.8566969
France/IDF0386-islP1/2020,France,"Paris, France",2020-01-28,35,2.3514616,48.8566969
France/IDF0372/2020,France,"Paris, France",2020-01-23,30,2.3514616,48.8566969
Guangdong/GD2020241-P0013/2020,China,"?, China",2020-02-09,47,104.999927,35.000074
Sydney/3/2020,Australia,"Sydney, Australia",2020-01-25,32,151.2164539,-33.8548157
Singapore/8/2020,Singapore,"Singapore, Singapore",2020-02-03,41,103.8194992,1.357107
Singapore/5/2020,Singapore,"Singapore, Singapore",2020-02-06,44,103.8194992,1.357107
Singapore/9/2020,Singapore,"Singapore, Singapore",2020-02-04,42,103.8194992,1.357107
Singapore/10/2020,Singapore,"Singapore, Singapore",2020-02-04,42,103.8194992,1.357107
Guangdong/GDSZ202004-P0004/2020,China,"?, China",2020-02-05,43,104.999927,35.000074
Guangdong/GD2020227-P0029/2020,China,"?, China",2020-02-05,43,104.999927,35.000074
Wuhan/HBCDC-HB-03/2019,China,"Wuhan, China",2019-12-30,6,114.2999353,30.5951051
Wuhan/IPBCAMS-WH-02/2019,China,"Wuhan, China",2019-12-30,6,114.2999353,30.5951051
Wuhan/IPBCAMS-WH-04/2019,China,"Wuhan, China",2019-12-30,6,114.2999353,30.5951051
Wuhan/WIV06/2019,China,"Wuhan, China",2019-12-30,6,114.2999353,30.5951051
Wuhan/IVDC-HB-01/2019,China,"Wuhan, China",2019-12-30,6,114.2999353,30.5951051
Wuhan/WIV04/2019,China,"Wuhan, China",2019-12-30,6,114.2999353,30.5951051
China/WHU02/2020,China,"Wuhan, China",2020-01-02,9,114.2999353,30.5951051
China/WHU01/2020,China,"Wuhan, China",2020-01-02,9,114.2999353,30.5951051
Nepal/61/2020,Nepal,"Kathmandu, Nepal",2020-01-13,20,85.3205817,27.708317
Guangdong/FS-S48-P0047/2020,China,"?, China",2020-02-28,66,104.999927,35.000074
Guangdong/DG-S9-P0045/2020,China,"?, China",2020-02-28,66,104.999927,35.000074
Guangdong/DG-S6-P0055/2020,China,"?, China",2020-02-28,66,104.999927,35.000074
Guangdong/FS-S42-P0046/2020,China,"?, China",2020-02-28,66,104.999927,35.000074
Guangdong/ZH-S33-P0058/2020,China,"?, China",2020-02-28,66,104.999927,35.000074
Guangdong/ZQ-S2-P0061/2020,China,"?, China",2020-02-28,66,104.999927,35.000074
Guangdong/MM-S1-P0048/2020,China,"?, China",2020-02-28,66,104.999927,35.000074
Guangdong/JM-S1-P0062/2020,China,"?, China",2020-02-28,66,104.999927,35.000074
Guangdong/FS-S50-P0053/2020,China,"?, China",2020-02-28,66,104.999927,35.000074
Guangdong/20SF014/2020,China,"Shenzhen, China",2020-01-15,22,114.0543297,22.555454
Zhejiang/WZ-01/2020,China,"Hangzhou, China",2020-01-16,23,120.2052342,30.2489634
Nonthaburi/74/2020,Thailand,"Bangkok, Thailand",2020-01-13,20,100.8160803,13.7538929
Netherlands/ZuidHolland_21/2020,Netherlands,"?, Netherlands",2020-03-03,70,5.7480821,52.5001698
Netherlands/Utrecht_12/2020,Netherlands,"?, Netherlands",2020-03-04,71,5.7480821,52.5001698
Netherlands/ZuidHolland_7/2020,Netherlands,"?, Netherlands",2020-03-05,72,5.7480821,52.5001698
Taiwan/NTU02/2020,Taiwan,"Taipei, Taiwan",2020-02-05,43,121.5636796,25.0375198
China/WF0024/2020,China,"?, China",2020-02-10,48,104.999927,35.000074
Hangzhou/HZCDC0001/2020,China,"Hangzhou, China",2020-01-19,26,120.2052342,30.2489634
Jiangsu/IVDC-JS-001/2020,China,"Huaian, China",2020-01-19,26,119.0211943,33.5897018
Guangdong/GD2020115-P0009/2020,China,"?, China",2020-02-01,39,104.999927,35.000074
Guangdong/DG-S2-P0054/2020,China,"?, China",2020-02-28,66,104.999927,35.000074
Nonthaburi/61/2020,Thailand,"Bangkok, Thailand",2020-01-08,15,100.8160803,13.7538929
England/200690300/2020,United Kingdom,"?, United Kingdom",2020-02-08,46,-3.2765753,54.7023545
England/200690306/2020,United Kingdom,"?, United Kingdom",2020-02-07,45,-3.2765753,54.7023545
Sydney/2/2020,Australia,"Sydney, Australia",2020-01-22,29,151.2164539,-33.8548157
Japan/KY-V-029/2020,Japan,"Kyoto, Japan",2020-01-29,36,135.7556075,35.021041
Japan/TKYE6182/2020,Japan,"?, Japan",2020-01-01,8,139.2394179,36.5748441
Guangzhou/20SF206/2020,China,"Guangzhou, China",2020-01-22,29,113.2592945,23.1301964
Guangdong/GD2020012-P0022/2020,China,"?, China",2020-02-01,39,104.999927,35.000074
China/IQTC01/2020,China,"Guangzhou, China",2020-02-05,43,113.2592945,23.1301964
Guangdong/GD2020246-P0028/2020,China,"?, China",2020-02-09,47,104.999927,35.000074
Japan/AI/I-004/2020,Japan,"Aichi, Japan",2020-01-25,32,137.254574,34.9991645
Cambodia/0012/2020,Cambodia,"?, Cambodia",2020-01-27,34,104.869423,13.5066394
France/IDF0626/2020,France,"Paris, France",2020-01-29,36,2.3514616,48.8566969
Singapore/1/2020,Singapore,"Singapore, Singapore",2020-01-23,30,103.8194992,1.357107
Guangdong/GDFS2020054-P0005/2020,China,"?, China",2020-02-10,48,104.999927,35.000074
Guangdong/GDFS2020052-P0025/2020,China,"?, China",2020-02-10,48,104.999927,35.000074
Taiwan/CGMH-CGU-01/2020,Taiwan,"Taoyuan, Taiwan",2020-01-25,32,121.3010003,24.9929995
Jiangsu/JS03/2020,China,"?, China",2020-01-24,31,104.999927,35.000074
Finland/1/2020,Finland,"Rovaniemi, Finland",2020-01-29,36,25.7192101,66.4976214
Japan/NA-20-05-1/2020,Japan,"?, Japan",2020-01-25,32,139.2394179,36.5748441
England/200690756/2020,United Kingdom,"?, United Kingdom",2020-02-08,46,-3.2765753,54.7023545
Guangdong/GDSZ202008-P0020/2020,China,"?, China",2020-02-05,43,104.999927,35.000074
SouthKorea/KCDC12/2020,South Korea,"Gyeonggi, South Korea",2020-02-01,39,127.0095,37.2752
Ireland/COR-20134/2020,Ireland,"?, Ireland",2020-03-04,71,-7.9794599,52.865196
Guangdong/2020XN4433-P0040/2020,China,"?, China",2020-01-30,37,104.999927,35.000074
Taiwan/4/2020,Taiwan,"Taipei, Taiwan",2020-01-28,35,121.5636796,25.0375198
England/200690245/2020,United Kingdom,"?, United Kingdom",2020-02-08,46,-3.2765753,54.7023545
England/200641094/2020,United Kingdom,"?, United Kingdom",2020-02-05,43,-3.2765753,54.7023545
Australia/NSW08/2020,Australia,"Sydney, Australia",2020-02-28,66,151.2164539,-33.8548157
Australia/NSW10/2020,Australia,"Sydney, Australia",2020-02-28,66,151.2164539,-33.8548157
USA/CA-CDPH-UC3/2020,USA,"Solano County, USA",2020-02-27,65,-121.9163555,38.2218938
USA/CA-CDPH-UC2/2020,USA,"Solano County, USA",2020-02-27,65,-121.9163555,38.2218938
USA/CA-CDPH-UC4/2020,USA,"Solano County, USA",2020-02-27,65,-121.9163555,38.2218938
USA/CA9/2020,USA,"Solano County, USA",2020-02-23,61,-121.9163555,38.2218938
Zhejiang/WZ-02/2020,China,"Hangzhou, China",2020-01-17,24,120.2052342,30.2489634
Hangzhou/HZ-1/2020,China,"Hangzhou, China",2020-01-20,27,120.2052342,30.2489634
Chongqing/ZX01/2020,China,"Zhongxian, China",2020-01-23,30,118.369889,25.950907
Japan/OS-20-07-1/2020,Japan,"?, Japan",2020-01-23,30,139.2394179,36.5748441
USA/IL1/2020,USA,"Chicago, USA",2020-01-21,28,-87.6244212,41.8755616
Guangdong/20SF201/2020,China,"?, China",2020-01-23,30,104.999927,35.000074
Singapore/2/2020,Singapore,"Singapore, Singapore",2020-01-25,32,103.8194992,1.357107
Singapore/6/2020,Singapore,"Singapore, Singapore",2020-02-09,47,103.8194992,1.357107
Guangdong/GD2020080-P0010/2020,China,"?, China",2020-02-01,39,104.999927,35.000074
Shanghai/SH01/2020,China,"?, China",2020-02-02,40,104.999927,35.000074
Guangdong/GD2020258-P0018/2020,China,"?, China",2020-02-09,47,104.999927,35.000074
Guangdong/GD2020134-P0031/2020,China,"?, China",2020-02-02,40,104.999927,35.000074
Guangdong/GD2020016-P0011/2020,China,"?, China",2020-02-01,39,104.999927,35.000074
Guangdong/GDFS2020127-P0026/2020,China,"?, China",2020-02-12,50,104.999927,35.000074
